,old_name,modern_name,type_of_rule,modern_country,wikipage,wikibase,description,instance_of,inception,dissolved,religion,geoLoc,capital
111,Fürsterzbistum Salzburg,Salzburg,['Erzstift'],"['AT', 'DE-BY']",<wptools.page.WPToolsPage object at 0x7f2a2fbaa610>,Q701614,prince-archbishopric in Central Europe between 1328–1803,ecclesiastical principality,+1278-01-01T00:00:00Z,+1803-01-01T00:00:00Z,,"(13.033333, 47.8)",
112,Fürstpropstei Berchtesgaden,Berchtesgaden,['Fürstpropstei'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fbb1f50>,Q683488,,spiritual territory,+1102-01-01T00:00:00Z,+1803-01-01T00:00:00Z,,"(13.00361111, 47.63333333)",
113,Fürstpropstei Ellwangen,Ellwangen,['Fürstpropstei'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fbb1e50>,Q15117187,,,,,,"(10.13208333, 48.96194444)",
114,Fürststift Kempten,Kempten,['Gefürstete Abtei'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fbb1910>,Q543840,monastery,abbey,+1213-01-01T00:00:00Z,+1803-01-01T00:00:00Z,,"(10.3128, 47.7284)",
115,Gefürstete Grafschaft Görz und Gradisca,Görz,['Grafschaft'],"['IT', 'SI']",<wptools.page.WPToolsPage object at 0x7f2a2fbb9ed0>,Q692946,Crown land of the empire of Austria,countship,+1754-01-01T00:00:00Z,+1919-01-01T00:00:00Z,,"(13.6206, 45.9419)",Gorizia
116,Gefürstete Grafschaft Störnstein,Störnstein,"['Grafschaft', 'Gefürstete Reichsgrafschaft']",['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fbb1a10>,Q1146376,,countship,,,,,
117,Genf,Genf,['Stadt'],['CH'],<wptools.page.WPToolsPage object at 0x7f2a2fbb9d10>,Q71,city in Switzerland and capital of its canton,cantonal capital of Switzerland,,,,"(6.15, 46.2)",
118,Gengenbach,Gengenbach,['Reichsstadt'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fbb1fd0>,Q505495,municipality in Germany,town,,,,"(8.0152777777778, 48.404166666667)",
119,Geschichte Hamburgs,Hamburg,['Freie Reichsstadt'],"['DE-HH', 'DE-SH', 'DE-NI']",<wptools.page.WPToolsPage object at 0x7f2a2fbbefd0>,Q314618,aspect of history,history of a city,,,,,
120,Geschichte Kölns,Köln,"['Freie Reichsstadt', 'Reichsstadt']",['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fbb1e90>,Q566781,aspect of history,history of a city,,,,,
121,Geschichte Luxemburgs,Luxemburg,['Grafschaft'],"['LU', 'DE-SL', 'DE-RP', 'BE']",<wptools.page.WPToolsPage object at 0x7f2a2fbbef90>,Q312456,aspect of history,history of a country or state,,,,,
122,Geschichte Pisas,Pisa,['Republik'],['IT'],<wptools.page.WPToolsPage object at 0x7f2a2fbbe950>,Q16610666,,,,,,,
123,Geschichte Schweinfurts,Schweinfurt,"['Freie Reichsstadt', 'Reichsstadt']",['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fbbe910>,Q60172700,,,,,,,
124,Geschichte Vorarlbergs#Mittelalter,Vorarlberg,['Landvogtei'],['AT'],<wptools.page.WPToolsPage object at 0x7f2a2fbbe790>,Q1516649,aspect of history,aspect of history,,,,,
125,Geschichte der Schweiz,Schweiz,"['Alte Eidgenossenschaft', 'Eidgenossenschaft']",['CH'],<wptools.page.WPToolsPage object at 0x7f2a2fbb1f90>,Q208761,aspect of history,history of a country or state,,,,,
126,Geschichte der Stadt Bremen,Bremen,['Freie Reichsstadt'],"['DE-HB', 'DE-NI']",<wptools.page.WPToolsPage object at 0x7f2a2fbc5d90>,Q474779,aspect of history,aspect of history,,,,,
127,Geschichte der Stadt Gelnhausen,Gelnhausen,['Reichsstadt'],['DE-HE'],<wptools.page.WPToolsPage object at 0x7f2a2fbc5550>,Q1517056,aspect of history,aspect of history,,,,,
128,Geschichte der Stadt Zürich,Zürich,['Reichsstadt'],['CH'],<wptools.page.WPToolsPage object at 0x7f2a2fbc5690>,Q684180,aspect of history,history of a city,,,,,
129,Geschichte des Wallis#Die Grafschaft Wallis,Wallis,['Grafschaft'],['CH'],<wptools.page.WPToolsPage object at 0x7f2a2fbc5ed0>,Q776635,aspect of history,aspect of history,,,,,
130,Giengen,Giengen,['Reichsstadt'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fbc5290>,Q547710,municipality in Germany,urban municipality of Germany,,,,"(10.245, 48.621666666667)",
131,Grafen von Lupfen,Lupfen,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fbc5b90>,Q1541452,noble family,noble family,,,,,
132,Grafen von Spiegelberg,Spiegelburg,['Reichsgraf'],['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2fbc5f90>,Q1541463,noble family,noble family,,,,,
133,Grafen von Sulz,Sulz,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fbc5d50>,Q700810,noble family,noble family,,,,,
134,Grafschaft Aalst,Aalst,['Grafschaft'],['BE'],<wptools.page.WPToolsPage object at 0x7f2a2fbc5c90>,Q21050125,,historical territory,,,,,
135,Grafschaft Aarberg,Aarberg,['Grafschaft'],['CH'],<wptools.page.WPToolsPage object at 0x7f2a2fbc5490>,Q1541435,noble family,noble family,,,,,
136,Grafschaft Abensberg,Abensberg,['Grafschaft'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fbcdcd0>,Q319056,noble family,family,,,,,
137,Grafschaft Altbruchhausen,Altbruchhausen,['Grafschaft'],['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2fbcdad0>,Q21035405,,Amt,,,,,
138,Grafschaft Altena,Altena,['Grafschaft'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fbcd890>,Q895827,,countship,+1161-00-00T00:00:00Z,+1262-00-00T00:00:00Z,,,Altena
139,Grafschaft Andechs,Andechs,['Grafschaft'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fbcde10>,Q490078,noble family,noble family,,,,,
140,Grafschaft Arnsberg,Arnsberg,['Grafschaft'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fbcdf50>,Q315288,,countship,+1077-00-00T00:00:00Z,+1368-00-00T00:00:00Z,,,Arnsberg
141,Grafschaft Baden,Baden,['Grafschaft'],['CH'],<wptools.page.WPToolsPage object at 0x7f2a2fbcdd10>,Q319677,,countship,+1415-01-01T00:00:00Z,+1798-01-01T00:00:00Z,,"(28, 47)",
142,Grafschaft Barby,Barby,['Reichsgrafschaft'],['DE-ST'],<wptools.page.WPToolsPage object at 0x7f2a2fbcd490>,Q3687963,former county in Saxony,,,,,,
143,Grafschaft Bentheim,Bentheim,['Grafschaft'],['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2fbcd290>,Q707771,countship,countship,+1050-01-01T00:00:00Z,+1806-01-01T00:00:00Z,,"(7.166667, 52.3)",Bad Bentheim
144,Grafschaft Berg,Berg,['Grafschaft'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fbcdb90>,Q151095,former German state and dukedom,historical territory,+1101-01-01T00:00:00Z,+1815-01-01T00:00:00Z,,"(6.8125, 51.207222222222)",Düsseldorf
145,Grafschaft Berka,Berka,['Grafschaft'],['DE-TH'],<wptools.page.WPToolsPage object at 0x7f2a2fbd7110>,Q48754276,,,,,,,
146,Grafschaft Blankenburg,Blankenburg,['Grafschaft'],"['DE-ST', 'DE-NI']",<wptools.page.WPToolsPage object at 0x7f2a2fbcdf10>,Q1541623,,countship,+1123-01-01T00:00:00Z,+1815-01-01T00:00:00Z,,"(10.961097, 51.798256)",
148,Grafschaft Calw,Calw,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fbd7ed0>,Q1541437,family,family,,,,,
149,Grafschaft Castell,Castell,['Grafschaft'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fbd7c10>,Q1541641,,,,,,,
150,Grafschaft Cilli,Cilli,['Grafschaft'],['SI'],<wptools.page.WPToolsPage object at 0x7f2a2fbd75d0>,Q700556,noble family,noble family,,,,,
151,Grafschaft Dagsburg,Leiningen-Dagsburg-Hardenburg,['Grafschaft'],"['FR', 'DE-RP']",<wptools.page.WPToolsPage object at 0x7f2a2fbcd690>,Q322763,countship and part of Holy Roman Empire,state in the Holy Roman Empire,+1001-00-00T00:00:00Z,+1793-00-00T00:00:00Z,,"(7.2372, 48.602)",Dabo
152,Grafschaft Delmenhorst,Delmenhorst,['Grafschaft'],['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2fbdef90>,Q1541661,,countship,,,,,
153,Grafschaft Diepholz,Diepholz,['Grafschaft'],['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2fbdee90>,Q2598686,State of the Holy Roman Empire,countship,,,,,
154,Grafschaft Diez,Diez,['Grafschaft'],"['DE-RP', 'DE-HE']",<wptools.page.WPToolsPage object at 0x7f2a2fbdeb10>,Q1541668,countship,countship,+1073-00-00T00:00:00Z,+1564-00-00T00:00:00Z,,,Diez
155,Grafschaft Dortmund,Dortmund,['Grafschaft'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fbdecd0>,Q1265044,,countship,,,,,
156,Grafschaft Drenthe,Drenthe,['Grafschaft'],['NL'],<wptools.page.WPToolsPage object at 0x7f2a2fbd7f50>,Q772,province of the Netherlands,province of the Netherlands,+1796-01-01T00:00:00Z,,,"(6.5833, 52.9167)",Assen
157,Grafschaft Eberstein,Eberstein,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fb66a90>,Q63350071,,,,,,,
158,Grafschaft Erbach,Erbach,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-HE'],<wptools.page.WPToolsPage object at 0x7f2a2fb66cd0>,Q876644,countship,family,,,,,
159,Grafschaft Fagnolle,Fagnolle,['Reichsgraf'],['BE'],<wptools.page.WPToolsPage object at 0x7f2a2fb66e50>,Q1541676,,countship,,,,,
160,Grafschaft Falkenstein,Falkenstein,['Grafschaft'],['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a2fb66e90>,Q1305272,countship,countship,,,,,
161,Grafschaft Flandern,Flandern,['Grafschaft'],"['BE', 'FR', 'NL']",<wptools.page.WPToolsPage object at 0x7f2a2fb66dd0>,Q157070,French fiefdom and historic territory in the Low Countries,countship,+0866-00-00T00:00:00Z,+1795-01-01T00:00:00Z,,,Bruges
162,Grafschaft Formbach,Formbach,['Grafschaft'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fb6bed0>,Q1541677,,countship,,,,,
163,Grafschaft Freiburg,Freiburg im Breisgau,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fb6bb90>,Q663278,noble family,noble family,,,,,
164,Grafschaft Genf,Genf,['Grafschaft'],"['CH', 'FR']",<wptools.page.WPToolsPage object at 0x7f2a2fb6bdd0>,Q570659,historical region,historical region,,,,"(6.5, 46)",
165,Grafschaft Gimborn,Gimborn,['Grafschaft'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fb6b350>,Q876552,,countship,,,,,
166,Grafschaft Glatz,Glatz,['Grafschaft'],['PL'],<wptools.page.WPToolsPage object at 0x7f2a2fb6b610>,Q661110,countship,countship,+1459-01-01T00:00:00Z,+1818-01-01T00:00:00Z,,"(16.63333333, 50.36666667)",
167,Grafschaft Gleichen,Gleichen,['Grafschaft'],['DE-TH'],<wptools.page.WPToolsPage object at 0x7f2a2fb6be10>,Q2045969,,countship,,,,,
168,Grafschaft Greyerz,Greyerz,['Grafschaft'],['CH'],<wptools.page.WPToolsPage object at 0x7f2a2fb6bcd0>,Q678898,county in Switzerland,county,,,,,
169,Grafschaft Gronsveld,Gronsfeld,['Reichsgraf'],['NL'],<wptools.page.WPToolsPage object at 0x7f2a2fb74f10>,Q1541688,geographic region,countship,,,,,
170,Grafschaft Haag,Haag,['Grafschaft'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fb74910>,Q1541693,countship,countship,,,,,
171,Grafschaft Hallermund,Hallermund,['Reichsgraf'],['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2fb74fd0>,Q1375279,countship,countship,,,,,
172,Grafschaft Hals,Hals,['Grafschaft'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fb74ed0>,Q1541694,,,,,,,
173,Grafschaft Hanau,Hanau (Grafschaft),['Herrschaft Hanau'],['DE-HE'],<wptools.page.WPToolsPage object at 0x7f2a2fb74790>,Q874567,countship,countship,+1429-00-00T00:00:00Z,+1736-00-00T00:00:00Z,,,Hanau
174,Grafschaft Hanau-Lichtenberg,Hanau-Lichtenberg,['Grafschaft'],"['DE-HE', 'DE-BW', 'FR']",<wptools.page.WPToolsPage object at 0x7f2a2fb74f90>,Q469837,countship,countship,,,,,Bouxwiller
175,Grafschaft Hanau-Münzenberg,Hanau-Münzenberg,['Grafschaft'],['DE-HE'],<wptools.page.WPToolsPage object at 0x7f2a2fb74e10>,Q319376,countship,countship,,,,,Hanau
176,Grafschaft Hartenstein,Hartenstein,['Grafschaft'],['DE-SN'],<wptools.page.WPToolsPage object at 0x7f2a2fb7b290>,Q1541696,,,,,,,
177,Grafschaft Heiligenberg,Heiligenberg,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fb7bdd0>,Q1290932,countship,historical country,+1135-00-00T00:00:00Z,+1800-00-00T00:00:00Z,,,Heiligenberg
178,Grafschaft Helfenstein,Helfenstein,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fb7b1d0>,Q896562,noble family,noble family,,+1627-09-20T00:00:00Z,,,
179,Grafschaft Henneberg,Henneberg,"['Reichsgraf', 'Gefürstete Reichsgrafschaft']","['DE-TH', 'DE-BY']",<wptools.page.WPToolsPage object at 0x7f2a2fb7b4d0>,Q315027,countship,countship,+1096-00-00T00:00:00Z,,,,
180,Grafschaft Hennegau,Hennegau,['Grafschaft'],"['FR', 'BE']",<wptools.page.WPToolsPage object at 0x7f2a2fb7b490>,Q309460,countship,countship,+1071-01-01T00:00:00Z,+1794-01-01T00:00:00Z,,,Mons
181,Grafschaft Hohenberg,Hohenberg,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fb7b0d0>,Q315731,noble family,noble family,,,,,
182,Grafschaft Hohenems,Hohenems,['Reichsgraf'],['AT'],<wptools.page.WPToolsPage object at 0x7f2a2fb7b890>,Q698591,municipality in Austria,municipality of Austria,,,,"(9.6666666666667, 47.366666666667)",
183,Grafschaft Hohengeroldseck,Hohengeroldseck,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fb83fd0>,Q324282,geographic region,countship,,,,,
184,Grafschaft Hohenwaldeck,Hohenwaldeck,['Grafschaft'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fb83f50>,Q1541701,Imperial Count (bavarian),herrschaft,,,,,
185,Grafschaft Hohnstein,Hohnstein,['Grafschaft'],"['DE-NI', 'DE-ST', 'DE-TH']",<wptools.page.WPToolsPage object at 0x7f2a2fb83f10>,Q16831619,Grafschaft,countship,+1182-00-00T00:00:00Z,+1593-00-00T00:00:00Z,,,
186,Grafschaft Holland,Holland,['Grafschaft'],['NL'],<wptools.page.WPToolsPage object at 0x7f2a2fb833d0>,Q762943,former State of the Holy Roman Empire and part of the Habsburg Netherlands,state in the Holy Roman Empire,+0880-01-01T00:00:00Z,+1795-01-01T00:00:00Z,Catholic Church,"(4.5367777777778, 52.16325)",The Hague
187,Grafschaft Holzappel,Holzappel,['Reichsgraf'],['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a2fb83d90>,Q1369901,"county in Rheinland-Pfalz, Germany",countship,+1643-01-01T00:00:00Z,+1806-01-01T00:00:00Z,,,
188,Grafschaft Hoorn,Hoorn,['Grafschaft'],['NL'],<wptools.page.WPToolsPage object at 0x7f2a2fb89dd0>,Q572222,former country,historical country,+0920-01-01T00:00:00Z,+1795-01-01T00:00:00Z,,,Horn
189,Grafschaft Hoya,Hoya,['Grafschaft'],['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2fb89bd0>,Q468378,countship,countship,+1202-01-01T00:00:00Z,+1582-01-01T00:00:00Z,,,Hoya
190,Grafschaft Katzenelnbogen,Katzenelnbogen,['Grafschaft'],"['DE-HE', 'DE-RP']",<wptools.page.WPToolsPage object at 0x7f2a2fb89cd0>,Q452332,Immediate state of the Holy Roman Empire,noble family,+1095-00-00T00:00:00Z,+1479-00-00T00:00:00Z,,,
191,Grafschaft Kerpen und Lommersum,Kerpen und Lommersum,['Reichsgraf'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fb89d90>,Q1541708,,countship,,,,,
192,Grafschaft Kessel,Kessel,['Grafschaft'],"['NL-LI', 'DE-NW', 'DE-RP']",<wptools.page.WPToolsPage object at 0x7f2a2fb89b90>,Q1397531,,countship,,,,,
193,Grafschaft Kevernburg,Kevernburg,['Grafschaft'],['DE-TH'],<wptools.page.WPToolsPage object at 0x7f2a2fb89e90>,Q1740068,family,noble family,,,,,
194,Grafschaft Kirchberg,Kirchberg,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fb89fd0>,Q60559,"municipality in Baden-Württemberg, Germany",municipality of Germany,,,,"(10.02, 48.321111111111)",
195,Grafschaft Kraiburg,Kraiburg-Marquartstein,['Grafschaft'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fb91f50>,Q1290749,,,,,,,
196,Grafschaft Kriechingen,Kriechingen,['Grafschaft'],['FR'],<wptools.page.WPToolsPage object at 0x7f2a2fb91750>,Q318735,state of the Holy Roman Empire,countship,,,,,Créhange
197,Grafschaft Kriechingen,Kriechingen,,['FR'],<wptools.page.WPToolsPage object at 0x7f2a2fb91a10>,Q318735,state of the Holy Roman Empire,countship,,,,,Créhange
198,Grafschaft Kyburg,Kyburg,['Grafschaft'],['CH'],<wptools.page.WPToolsPage object at 0x7f2a2fb91e90>,Q456189,,,+1001-00-00T00:00:00Z,+1798-00-00T00:00:00Z,,,Kyburg castle
199,Grafschaft Königsegg-Aulendorf,Königsegg-Aulendorf,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fb91650>,Q472467,countship,noble family,+1192-01-01T00:00:00Z,+1806-01-01T00:00:00Z,,"(9.63888889, 47.95416667)",
200,Grafschaft Königsegg-Rothenfels,Königsegg-Rothenfels,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fb966d0>,Q1541716,countship,countship,+1622-01-01T00:00:00Z,+1804-01-01T00:00:00Z,,"(10.21888889, 47.55972222)",
201,Grafschaft Königstein,Königstein und Eppstein,['Reichsgraf'],['DE-HE'],<wptools.page.WPToolsPage object at 0x7f2a2fb96b50>,Q1541713,imperially immediate territory of the Holy Roman Empire,historical territory,,,,,
202,Grafschaft Lebenau,Lebenau,['Grafschaft'],"['DE-BY', 'AT']",<wptools.page.WPToolsPage object at 0x7f2a2fb96dd0>,Q1541718,,countship,,,,,
203,Grafschaft Leiningen,Leiningen,['Grafschaft'],"['DE-RP', 'DE-BW', 'DE-HE', 'FR']",<wptools.page.WPToolsPage object at 0x7f2a2fb96cd0>,Q668414,German noble family,noble family,,,,"(8.14, 49.54)",
204,Grafschaft Limburg,Limburg,['Grafschaft'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fb96e90>,Q315663,countship,countship,+1246-01-01T00:00:00Z,,,"(7.5675, 51.36361111)",Hohenlimburg
205,Grafschaft Lingen,Lingen,['Grafschaft'],['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2fb96bd0>,Q879507,German countship; geographic region,countship,,,,,
206,Grafschaft Lippe,Lippe,['Grafschaft'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fb96b90>,Q1541723,Grafschaft,historical territory,,+1789-00-00T00:00:00Z,,"(8.877962, 51.936182)",
207,Grafschaft Lohra,Lohra,['Grafschaft'],['DE-TH'],<wptools.page.WPToolsPage object at 0x7f2a2fb96f90>,Q39080084,,,,,,,
208,Grafschaft Loon,Loon,['Grafschaft'],['BE'],<wptools.page.WPToolsPage object at 0x7f2a2fb964d0>,Q707584,countship,countship,+1040-01-01T00:00:00Z,+1366-01-01T00:00:00Z,,"(5.35, 50.8)",Borgloon
209,Grafschaft Löwenstein,Löwenstein,['Reichsgraf'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fb96fd0>,Q1541731,countship,countship,,,,,
210,Grafschaft Maden,Maden,['Grafschaft'],['DE-HE'],<wptools.page.WPToolsPage object at 0x7f2a2fba0d90>,Q1541733,countship,countship,,,,,
211,Grafschaft Manderscheid,Blankenheim und Gerolstein,['Grafschaft'],['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a2fba0f10>,Q733889,noble family,noble family,+1000-01-01T00:00:00Z,+1488-01-01T00:00:00Z,,,Manderscheid
212,Grafschaft Manderscheid,Manderscheid,"['Amt (Kommunalrecht)', 'Amt']",['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a2fba0590>,Q733889,noble family,noble family,+1000-01-01T00:00:00Z,+1488-01-01T00:00:00Z,,,Manderscheid
213,Grafschaft Mansfeld,Mansfeld,['Grafschaft'],['DE-ST'],<wptools.page.WPToolsPage object at 0x7f2a2fba0ed0>,Q454775,noble family,noble family,,,,,
214,Grafschaft Mark,Mark,['Grafschaft'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fba0510>,Q700198,county and state in the Lower Rhenish–Westphalian Circle of the Holy Roman Empire,countship,+1160-01-01T00:00:00Z,+1806-01-01T00:00:00Z,,"(7.8158333333333, 51.673611111111)",Hamm
215,Grafschaft Moers,Moers,['Grafschaft'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fb25dd0>,Q328928,"historical state (county from ca. 1160, principality from 1702–1801)",countship,,,,,
216,Grafschaft Montfort,Montfort,['Grafschaft'],"['AT', 'CH', 'FL', 'DE-BY', 'DE-BW']",<wptools.page.WPToolsPage object at 0x7f2a2fba0e90>,Q465653,German noble dynasty from Swabia,countship,,,,,
217,Grafschaft Namur,Namur,['Markgrafschaft'],['BE'],<wptools.page.WPToolsPage object at 0x7f2a2fb25e50>,Q599613,countship,countship,+0981-01-01T00:00:00Z,+1795-01-01T00:00:00Z,Catholic Church,,Namur
218,Grafschaft Nassau-Saarbrücken,Saarbrücken,['Grafschaft'],['DE-SL'],<wptools.page.WPToolsPage object at 0x7f2a2fb25d10>,Q458264,countship,countship,+1080-00-00T00:00:00Z,+1801-00-00T00:00:00Z,,,Saarbrücken
219,Grafschaft Neubruchhausen,Neubruchhausen,['Grafschaft'],['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2fb2ad90>,Q1396212,human settlement in Germany,Ortsteil,,,,"(8.84513, 52.8392)",
220,Grafschaft Neuburg,Neuburg am Inn,['Reichsgrafschaft'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fb2a3d0>,Q1541746,,countship,,,,,
221,Grafschaft Neuenahr,Neuenahr,['Grafschaft'],['DE'],<wptools.page.WPToolsPage object at 0x7f2a2fb2a410>,Q878002,countship,countship,,,,,
222,Grafschaft Neuenburg,Neuenburg,['Grafschaft'],['CH'],<wptools.page.WPToolsPage object at 0x7f2a2fb2ac10>,Q12738,canton of Switzerland,canton of Switzerland,+1034-01-01T00:00:00Z,,,"(6.7833333333333, 46.983333333333)",Neuchâtel
223,Grafschaft Northeim,Northeim,['Grafschaft'],['DE'],<wptools.page.WPToolsPage object at 0x7f2a2fb31fd0>,Q319518,countship,countship,,,,,
224,Grafschaft Oettingen,Oettingen,['Grafschaft'],"['DE-BY', 'DE-BW']",<wptools.page.WPToolsPage object at 0x7f2a2fb2ad10>,Q9294375,Grafschaft,countship,,,,"(10.60456111, 48.95464722)",
225,Grafschaft Oldenburg,Oldenburg,['Grafschaft'],['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2fb31f90>,Q170390,countship,countship,+1091-01-01T00:00:00Z,+1774-01-01T00:00:00Z,,"(8.21594444, 53.138)",Oldenburg
226,Grafschaft Orlamünde,Orlamünde,['Grafschaft'],['DE'],<wptools.page.WPToolsPage object at 0x7f2a2fb31b90>,Q883382,countship,countship,,,,,
227,Grafschaft Ortenburg,Ortenburg,['Grafschaft'],['AT'],<wptools.page.WPToolsPage object at 0x7f2a2fb31e50>,Q876713,noble family,noble family,,,,,
228,Grafschaft Ostfriesland,Ostfriesland,['Reichsgrafschaft'],"['DE-NI', 'NL-GR']",<wptools.page.WPToolsPage object at 0x7f2a2fb31c10>,Q319250,,countship,+1464-01-01T00:00:00Z,+1744-01-01T00:00:00Z,,,Emden
229,Grafschaft Provence,Provence,['Grafschaft'],['FR'],<wptools.page.WPToolsPage object at 0x7f2a2fb39c50>,Q101081,region and historical province of southeastern France,geographic region,,,,"(6, 44)",
230,Grafschaft Pyrmont,Pyrmont,['Reichsgraf'],['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2fb39d90>,Q825489,countship,countship,+1194-00-00T00:00:00Z,+1848-00-00T00:00:00Z,,"(9.24836, 51.9836)",
231,Grafschaft Rantzau,Rantzau,['Grafschaft'],['DE-SH'],<wptools.page.WPToolsPage object at 0x7f2a2fb39950>,Q3925219,,,+1650-01-01T00:00:00Z,,,,
232,Grafschaft Ratzeburg,Ratzeburg,['Grafschaft'],"['DE-MV', 'DE-SH']",<wptools.page.WPToolsPage object at 0x7f2a2fb39450>,Q1390920,,,,,,,
233,Grafschaft Ravensberg,Ravensberg,['Grafschaft'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fb39410>,Q573290,"county of the Holy Roman Empire, in modern North Rhine-Westphalia",countship,+1140-00-00T00:00:00Z,+1807-01-01T00:00:00Z,,"(8.57071, 52.0922)",
234,Grafschaft Reckheim,Reckheim,['Reichsgraf'],['BE'],<wptools.page.WPToolsPage object at 0x7f2a2fb393d0>,Q1541784,countship,countship,,,,,
235,Grafschaft Rieneck,Rieneck,['Grafschaft'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fb39b50>,Q1541789,,countship,,,,,
236,Grafschaft Rietberg,Rietberg,['Grafschaft'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fb3df50>,Q457468,geographical object,state in the Holy Roman Empire,+1237-01-01T00:00:00Z,+1807-01-01T00:00:00Z,,"(8.434818, 51.799154)",
237,Grafschaft Saarbrücken,Nassau-Saarbrücken,['Grafschaft'],['DE-SL'],<wptools.page.WPToolsPage object at 0x7f2a2fb3dd10>,Q458264,countship,countship,+1080-00-00T00:00:00Z,+1801-00-00T00:00:00Z,,,Saarbrücken
238,Grafschaft Saarwerden,Saarwerden,['Grafschaft'],['FR'],<wptools.page.WPToolsPage object at 0x7f2a2fb3db10>,Q322811,countship,countship,,,,,
239,Grafschaft Sayn,Sayn,['Grafschaft'],['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a2fb3d4d0>,Q553182,countship,countship,,+1605-01-01T00:00:00Z,,"(7.57638889, 50.43833333)",Sayn
240,Grafschaft Schaumburg,Schaumburg,['Grafschaft'],['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2fb42f50>,Q445892,countship,countship,+1110-01-01T00:00:00Z,+1640-01-01T00:00:00Z,,"(9.17, 52.25)",
